filename,full_path,username,root_path,activity,month,lingorm
teddybear_t9_1819319264308089116_2024-08-02 10-28_3.webp,./images/teddybear_t9_1819319264308089116_2024-08-02 10-28_3.webp,teddybear_t9,活動,20240710_FEEDxLINGORM,202407.0,lingorm
_sPoundK__1814615845836104069_2024-07-20 10-58_2.webp,./images/_sPoundK__1814615845836104069_2024-07-20 10-58_2.webp,_sPoundK_,活動,20240720_LancomexLingOrm,202407.0,ling
东方的小屹_5074981451727993_2024-09-04 12-35_4.webp,./images/东方的小屹_5074981451727993_2024-09-04 12-35_4.webp,东方的小屹,活動,20240904_排練,202409.0,orm
LOgallery38_1816875594447278519_2024-07-26 16-37_1.webp,./images/LOgallery38_1816875594447278519_2024-07-26 16-37_1.webp,LOgallery38,活動,20240720_LancomexLingOrm,202407.0,lingorm
_therealfilm_1826606058040901977_2024-08-22 13-03_1.webp,./images/_therealfilm_1826606058040901977_2024-08-22 13-03_1.webp,_therealfilm,活動,20240821_OPPOA3xLINGORM,202408.0,lingorm
LilyRose_38_1800452300168970292_2024-06-11 08-57_3 (1).webp,./images/LilyRose_38_1800452300168970292_2024-06-11 08-57_3 (1).webp,LilyRose_38,活動,20240611_LingOrmOnTheWay_EP3,202406.0,lingorm
EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,./images/EM_Gossip_1833055970358141022_2024-09-09 08-12_1.webp,EM_Gossip,活動,20240908_LingOrmFanMeet2geTHer_媒體,202409.0,lingorm
SOU_Ch3Official_1818558855003165052_2024-07-31 08-06_1.webp,./images/SOU_Ch3Official_1818558855003165052_2024-07-31 08-06_1.webp,SOU_Ch3Official,拍攝,Lemon雜誌,,lingorm
bunnytales1221_1820774231124361312_2024-08-06 10-49_1.webp,./images/bunnytales1221_1820774231124361312_2024-08-06 10-49_1.webp,bunnytales1221,活動,20240624_DaraLive,202406.0,ling
SOU_Ch3Official_1789312178274890133_2024-05-11 15-10_4.webp,./images/SOU_Ch3Official_1789312178274890133_2024-05-11 15-10_4.webp,SOU_Ch3Official,活動,20240511_LINGLINGBD2024,202405.0,ling
monday_21_5075282514415512_2024-09-05 08-31_7.webp,./images/monday_21_5075282514415512_2024-09-05 08-31_7.webp,monday_21,活動,20240905_排練,202409.0,orm
SpeedHan_1804836617041138164_2024-06-23 11-19_2.webp,./images/SpeedHan_1804836617041138164_2024-06-23 11-19_2.webp,SpeedHan,活動,20240623_LingOrmFirstMeet,202406.0,lingorm
JungsJinns_1815203730071212091_2024-07-22 01-54_2.webp,./images/JungsJinns_1815203730071212091_2024-07-22 01-54_2.webp,JungsJinns,活動,20240722_三台大樓宣傳,202407.0,orm
bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,./images/bunnytales1221_1794729144812740627_2024-05-26 13-55_2.webp,bunnytales1221,活動,20240526_ORM_CHARITY_FASHION_SHOW,202405.0,orm
thinktoyoon_ty_1826906563854103011_2024-08-23 08-57_1.webp,./images/thinktoyoon_ty_1826906563854103011_2024-08-23 08-57_1.webp,thinktoyoon_ty,活動,20240821_OPPOA3xLINGORM,202408.0,lingorm
wefoundyouu_1814606629272498583_2024-07-20 10-21_4.webp,./images/wefoundyouu_1814606629272498583_2024-07-20 10-21_4.webp,wefoundyouu,活動,20240720_LancomexLingOrm,202407.0,lingorm
GasChill_1813128866514542694_2024-07-16 08-29_4.webp,./images/GasChill_1813128866514542694_2024-07-16 08-29_4.webp,GasChill,活動,20240715_三台大樓宣傳,202407.0,lingorm
petalssourire_1815030881423343762_2024-07-21 14-27_3.webp,./images/petalssourire_1815030881423343762_2024-07-21 14-27_3.webp,petalssourire,活動,20240720_LancomexLingOrm,202407.0,ling
butterflyverse__1783868183742668910_2024-04-26 14-38_3.webp,./images/butterflyverse__1783868183742668910_2024-04-26 14-38_3.webp,butterflyverse_,活動,20240426_OrmSWUAwards,202404.0,orm
SpeedHan_1788762520393855290_2024-05-10 02-46_1.webp,./images/SpeedHan_1788762520393855290_2024-05-10 02-46_1.webp,SpeedHan,活動,20240509_LingOrmCh3FanGreet,202405.0,ling
JungsJinns_1822509920828412188_2024-08-11 05-46_1.webp,./images/JungsJinns_1822509920828412188_2024-08-11 05-46_1.webp,JungsJinns,活動,20240810_DestinyClinicxLingOrm,202408.0,lingorm
GasChill_1829502859538522616_2024-08-30 12-54_1.webp,./images/GasChill_1829502859538522616_2024-08-30 12-54_1.webp,GasChill,活動,20240830_三台上下班,202408.0,ling
SOU_Ch3Official_1768221518046371951_2024-03-14 10-23_3.webp,./images/SOU_Ch3Official_1768221518046371951_2024-03-14 10-23_3.webp,SOU_Ch3Official,活動,20240314_三台54週年慶練習,202403.0,lingorm
TTaeny09_1805209325515969010_2024-06-24 12-00_1.webp,./images/TTaeny09_1805209325515969010_2024-06-24 12-00_1.webp,TTaeny09,活動,20240623_LingOrmFirstMeet,202406.0,ling
eastern0122_1815239220577136686_2024-07-22 04-15_3.webp,./images/eastern0122_1815239220577136686_2024-07-22 04-15_3.webp,eastern0122,活動,20240722_三台大樓宣傳,202407.0,ling
LilyRose_38_1799101149070647543_2024-06-07 15-28_1.webp,./images/LilyRose_38_1799101149070647543_2024-06-07 15-28_1.webp,LilyRose_38,活動,20240607_KylieCosmetics,202406.0,orm
Ch3Plus_1831673713760293111_2024-09-05 12-40_3.webp,./images/Ch3Plus_1831673713760293111_2024-09-05 12-40_3.webp,Ch3Plus,活動,20240905_排練,202409.0,orm
butterflyverse__1792901491583586782_2024-05-21 12-53_1.webp,./images/butterflyverse__1792901491583586782_2024-05-21 12-53_1.webp,butterflyverse_,活動,20240519_LingOrmCharityBirthday,202405.0,lingorm
teddybear_t9_1814202596946767903_2024-07-19 07-36_2.webp,./images/teddybear_t9_1814202596946767903_2024-07-19 07-36_2.webp,teddybear_t9,活動,20240715_三台大樓宣傳,202407.0,lingorm
mtaengoo_1791383253884219457_2024-05-17 08-20_4.webp,./images/mtaengoo_1791383253884219457_2024-05-17 08-20_4.webp,mtaengoo,活動,20240519_LingOrmCharityBirthday,202405.0,lingorm
TKhani_K_1827685871887470661_2024-08-25 12-34_1.webp,./images/TKhani_K_1827685871887470661_2024-08-25 12-34_1.webp,TKhani_K,活動,20240825_YoungOTOPxOrm,202408.0,orm
apologiseex_1816683877198713032_2024-07-26 03-56_2.webp,./images/apologiseex_1816683877198713032_2024-07-26 03-56_2.webp,apologiseex,活動,20240725_MyChannel,202407.0,lingorm
teddybear_t9_1788564632141193463_2024-05-09 13-40_1.webp,./images/teddybear_t9_1788564632141193463_2024-05-09 13-40_1.webp,teddybear_t9,活動,20240509_LingOrmCh3FanGreet,202405.0,ling
TTaeny09_1812700578205860339_2024-07-15 04-07_2.webp,./images/TTaeny09_1812700578205860339_2024-07-15 04-07_2.webp,TTaeny09,活動,20240715_三台大樓宣傳,202407.0,ling
teddybear_t9_1803302167610269903_2024-06-19 05-41_1.webp,./images/teddybear_t9_1803302167610269903_2024-06-19 05-41_1.webp,teddybear_t9,活動,20240620_Ch3Special,202406.0,lingorm
gatefany_1788831424377991560_2024-05-10 07-20_1.webp,./images/gatefany_1788831424377991560_2024-05-10 07-20_1.webp,gatefany,活動,20240510_SKIIxLinglingKwong,202405.0,ling
MOEVIR中文版_5075660252385296_2024-09-06 09-32_8.webp,./images/MOEVIR中文版_5075660252385296_2024-09-06 09-32_8.webp,MOEVIR中文版,拍攝,MOEVIR雜誌,,lingorm
wefoundyouu_1795272363342438829_2024-05-28 01-54_4.webp,./images/wefoundyouu_1795272363342438829_2024-05-28 01-54_4.webp,wefoundyouu,活動,20240525_RomandMultyxLingOrm,202405.0,lingorm
_sPoundK__1824654742812811702_2024-08-17 03-49_1.webp,./images/_sPoundK__1824654742812811702_2024-08-17 03-49_1.webp,_sPoundK_,拍攝,GLUE雜誌,,lingorm
linglingkwong_3448143457615326598_2024-09-02 09-52_2.webp,./images/linglingkwong_3448143457615326598_2024-09-02 09-52_2.webp,linglingkwong,活動,20240902_排練,202409.0,ling
butterflyverse__1794747068848001261_2024-05-26 15-07_1.webp,./images/butterflyverse__1794747068848001261_2024-05-26 15-07_1.webp,butterflyverse_,活動,20240526_ORM_CHARITY_FASHION_SHOW,202405.0,orm
